Modell,Prompt,Prompt_Laenge,Prompt_Woerter,Enthaelt_Ausfuehrlich_Schluesselwort,Enthaelt_Kurz_Schluesselwort,Anzahl_Sonderzeichen,Anzahl_Zahlen,Energieverbrauch,Dauer (Sekunden)
Chatbot 1 lang,Was sind GANs (Generative Adversarial Networks)? (liefere eine genaue beschreibung),83,10,1,0,5,0,0.00040702479555002676,55.01829695701599
Chatbot 2 kurz,Was sind GANs (Generative Adversarial Networks)? (in einem satz),64,9,0,1,5,0,4.876572769906122e-05,6.650869846343994
Chatbot 1 lang,Wie lässt sich die Modellgüte bewerten? (detailliert),53,7,1,0,3,0,0.0006533130477732038,88.28519415855408
Chatbot 2 kurz,Wie lässt sich die Modellgüte bewerten? (prägnant),50,7,0,1,3,0,3.123816052746617e-05,4.279132604598999
Chatbot 1 lang,Welche Bedeutung haben Labels im Machine Learning? (detailliert),64,8,1,0,3,0,0.0004989107740633146,67.43212866783142
Chatbot 2 kurz,Welche Bedeutung haben Labels im Machine Learning? (ohne ausschmückung),71,9,0,1,3,0,9.849623984438849e-05,13.377195119857788
Chatbot 1 lang,Wie funktioniert Cross-Validation? (ausführliche erklärung),59,6,1,0,4,0,0.0005017839047833733,67.81099390983582
Chatbot 2 kurz,Wie funktioniert Cross-Validation? (kurz beschreiben),53,6,1,1,4,0,0.00017364578973349306,23.51602554321289
Chatbot 1 lang,"Erörtere, was ist eine Epoch im Training eines ML-Modells?",58,10,1,0,3,0,0.0002908074158814399,39.34709882736206
Chatbot 2 kurz,Was ist eine Epoch im Training eines ML-Modells? (kurz und bündig),66,12,0,1,4,0,3.8623835636557854e-05,5.281355142593384
Chatbot 1 lang,"Erkläre, wie kann man Modelle interpretierbar machen?",53,7,1,0,2,0,0.0004462853578948398,60.36053776741028
Chatbot 2 kurz,Wie kann man Modelle interpretierbar machen? (stichpunkte),58,7,0,1,3,0,0.00027916725720433355,37.74389839172363
Chatbot 1 lang,"Beschreibe, was sind die wichtigsten Anwendungsfälle für ML in der Industrie?",77,11,1,0,2,0,0.0004074828921578133,55.08014369010925
Chatbot 2 kurz,Was sind die wichtigsten Anwendungsfälle für ML in der Industrie? (stichpunktartig),83,11,0,1,3,0,0.0001879156281654967,25.420509338378906
Chatbot 1 lang,Wie kann man Daten für maschinelles Lernen anonymisieren? (detailliert),71,9,1,0,3,0,0.0006500569611397629,87.82121419906616
Chatbot 2 kurz,Wie kann man Daten für maschinelles Lernen anonymisieren? (stichpunkte),71,9,0,1,3,0,0.0004659478996592724,62.95848250389099
Chatbot 1 lang,Was versteht man unter Batch Learning? (begründe),49,7,1,0,3,0,0.0002341618929869537,31.661677598953247
Chatbot 2 kurz,Was versteht man unter Batch Learning? (maximal ein satz),57,9,0,1,3,0,2.90874732286068e-05,3.969569444656372
Chatbot 1 lang,"Erörtere, was ist Semi-Supervised Learning?",43,6,1,0,3,0,0.0002976732475729125,40.24162435531616
Chatbot 2 kurz,Was ist Semi-Supervised Learning? (in drei worten),50,8,0,1,4,0,2.5553488014572635e-05,3.491604804992676
Chatbot 1 lang,Wie können Ausreißer im Datensatz erkannt und behandelt werden? (begründe),74,10,1,0,3,0,0.000541604947223064,73.18527293205261
Chatbot 2 kurz,Wie können Ausreißer im Datensatz erkannt und behandelt werden? (in wenigen worten),83,12,0,1,3,0,3.8249686546429786e-05,5.200404167175293
Chatbot 1 lang,"Beschreibe, was sind Herausforderungen bei Multi-Label-Klassifikation?",70,8,1,0,4,0,0.0003784538897806963,51.1457257270813
Chatbot 2 kurz,Was sind Herausforderungen bei Multi-Label-Klassifikation? (stichpunktartig),76,8,0,1,5,0,0.0001675789477572998,22.68474817276001
Chatbot 1 lang,Nenne 3 Vorteile von KI in der Industrie. (ausführlich),55,9,1,0,3,1,0.0005088613264751401,68.75931739807129
Chatbot 2 kurz,Nenne 3 Vorteile von KI in der Industrie. (stichpunktartig),59,9,0,1,3,1,8.533556167586226e-05,11.565747022628784
Chatbot 1 lang,Erörtere Gib mir 5 Beispiele für Machine-Learning-Algorithmen.,62,9,1,0,3,1,0.00026646029514183555,36.03389310836792
Chatbot 2 kurz,Gib mir 5 Beispiele für Machine-Learning-Algorithmen. (kurz erklären),69,10,1,1,5,1,0.00020662649958158824,27.950031280517578
Chatbot 1 lang,Nennen Zähle 10 Anwendungen für Deep Learning auf.,50,8,1,0,1,1,0.00021650240801550244,29.28058409690857
Chatbot 2 kurz,Zähle 10 Anwendungen für Deep Learning auf. (kurze antwort),59,9,0,1,3,1,5.965321182117538e-05,8.08364725112915
Chatbot 1 lang,Was sind die 2 Hauptarten von neuronalen Netzen? (schritt für schritt),70,11,1,0,3,1,0.00028150670321760947,38.06032681465149
Chatbot 2 kurz,Was sind die 2 Hauptarten von neuronalen Netzen? (maximal ein satz),67,11,0,1,3,1,3.830899358316731e-05,5.213935136795044
Chatbot 1 lang,Welche 4 Schritte umfasst der Data-Science-Prozess? (detailliert),65,9,1,0,5,1,0.00040022707179267897,54.08215117454529
Chatbot 2 kurz,Welche 4 Schritte umfasst der Data-Science-Prozess? (kurz und bündig),69,11,0,1,5,1,6.125054681131888e-05,8.3085618019104
Chatbot 1 lang,Nennen Gib 6 Methoden zur Datenvorverarbeitung an.,50,7,1,0,1,1,0.00017215695586415828,23.293766260147095
Chatbot 2 kurz,Gib 6 Methoden zur Datenvorverarbeitung an. (maximal ein satz),62,9,0,1,3,1,7.822113217306349e-05,10.592433452606201
Chatbot 1 lang,Was sind 3 Herausforderungen bei der Datensicherheit? (in eigenen worten),73,10,1,0,3,1,0.00010549489747815987,14.29256796836853
Chatbot 2 kurz,Was sind 3 Herausforderungen bei der Datensicherheit? (so knapp wie möglich),76,11,0,1,3,1,5.276247150233871e-05,7.1880834102630615
Chatbot 1 lang,Erörtere Nenne 7 bekannte Frameworks für KI.,44,7,1,0,1,1,0.00024812526031852886,33.56275177001953
Chatbot 2 kurz,Nenne 7 bekannte Frameworks für KI. (nur das wichtigste),56,9,0,1,3,1,0.00019717938338834152,26.678487539291382
Chatbot 1 lang,Erläutere Welche 8 Programmiersprachen werden im ML eingesetzt?,63,8,1,0,1,1,0.0002989897217787464,40.4242160320282
Chatbot 2 kurz,Welche 8 Programmiersprachen werden im ML eingesetzt? (so kurz wie möglich),75,11,0,1,3,1,5.081807402525756e-05,6.913163423538208
Chatbot 1 lang,Zähle 5 Nachteile von Black-Box-Modellen auf. (liefere details),63,10,1,0,5,1,0.00025320582740078455,34.2358672618866
Chatbot 2 kurz,Zähle 5 Nachteile von Black-Box-Modellen auf. (ohne ausschmückung),66,10,0,1,5,1,0.00012018146632146306,16.276194095611572
Chatbot 1 lang,Erkläre in 2 Sätzen den Begriff Overfitting. (mit beispiel),59,9,1,0,3,1,5.068010557540133e-05,6.881263494491577
Chatbot 2 kurz,Erkläre in 2 Sätzen den Begriff Overfitting. (ohne ausschmückung),65,9,1,1,3,1,4.479698467318624e-05,6.103795289993286
Chatbot 1 lang,Gib 10 Tipps zur Optimierung von Trainingsdaten. (detailliert),62,8,1,0,3,1,0.0006568594461371918,88.73296475410461
Chatbot 2 kurz,Gib 10 Tipps zur Optimierung von Trainingsdaten. (kurz und bündig),66,10,0,1,3,1,0.00012669417820934353,17.173153400421143
Chatbot 1 lang,Was sind 4 Kennzahlen zur Bewertung von ML-Modellen? (detailliert),66,10,1,0,4,1,0.0005192276147013017,70.17428612709045
Chatbot 2 kurz,Was sind 4 Kennzahlen zur Bewertung von ML-Modellen? (knapp),60,10,0,1,4,1,7.055470971813887e-05,9.588184356689453
Chatbot 1 lang,Nenne 5 Ursachen für Bias in Datensätzen. (in eigenen worten),61,10,1,0,3,1,0.0001861184527312365,25.19244146347046
Chatbot 2 kurz,Nenne 5 Ursachen für Bias in Datensätzen. (kurze antwort),57,9,0,1,3,1,7.267106802520259e-05,9.860279083251953
Chatbot 1 lang,Was sind die 3 beliebtesten Cloud-Anbieter für AIaaS? (liefere eine genaue beschreibung),88,13,1,0,4,1,0.0005699610761337233,77.00438809394836
Chatbot 2 kurz,Was sind die 3 beliebtesten Cloud-Anbieter für AIaaS? (knapp),61,10,0,1,4,1,4.683012106653232e-05,6.364968538284302
Chatbot 1 lang,Beschreibe 6 typische Anwendungsbereiche von NLP. (genau),57,7,1,0,3,1,0.00016404731194657316,22.202508211135864
Chatbot 2 kurz,Beschreibe 6 typische Anwendungsbereiche von NLP. (maximal ein satz),68,9,1,1,3,1,8.901443508487497e-05,12.066452741622925
Chatbot 1 lang,Welche 2 Techniken zur Regularisierung gibt es? (in eigenen worten),67,10,1,0,3,1,0.00017900967493915875,24.218012809753418
Chatbot 2 kurz,Welche 2 Techniken zur Regularisierung gibt es? (eine zeile),60,9,0,1,3,1,6.775030269552521e-05,9.207032918930054
Chatbot 1 lang,Gib mir 9 Vorteile von Transfer Learning. (erklären sie),56,9,1,0,3,1,0.00023409351309686458,31.66628670692444
Chatbot 2 kurz,Gib mir 9 Vorteile von Transfer Learning. (knapp),49,8,0,1,3,1,0.00011822228734945922,16.020419120788574
Chatbot 1 lang,"Erkläre, was sind 5 ethische Aspekte beim Einsatz von KI?",57,10,1,0,2,1,0.0002598269843251473,35.12931203842163
Chatbot 2 kurz,Was sind 5 ethische Aspekte beim Einsatz von KI? (stichpunktartig),66,10,0,1,3,1,0.00015832819150082928,21.459335327148438
Chatbot 1 lang,Nenne 8 Herausforderungen beim Einsatz von KI in KMUs. (detailliert),68,10,1,0,3,1,0.0007777456275250707,105.06449031829834
Chatbot 2 kurz,Nenne 8 Herausforderungen beim Einsatz von KI in KMUs. (knapp),62,10,0,1,3,1,9.960212446695715e-05,13.505285024642944
